Population,Localidad/ubicación,Año,Edad,Sexo,Causa de muerte o lesión,Medir,Valor,Límite inferior,Límite superior
Toda la población,Brasil,2012,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1035209.7519450426,935730.9297112459,1122997.201553229
Toda la población,Brasil,2013,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1059817.0052174646,958847.4078042111,1140928.9810542676
Toda la población,Brasil,2014,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1076715.4518856585,973486.3022299219,1161848.6224181429
Toda la población,Brasil,2015,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1121526.4120261644,1014750.6015261846,1217042.6772889877
Toda la población,Brasil,2016,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1169593.4108406715,1061470.1371532914,1269522.464821963
Toda la población,Brasil,2017,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1195827.7241361924,1081299.249290529,1297644.2257609556
Toda la población,Brasil,2018,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1222389.2066799824,1106288.9676760854,1324464.8974921573
Toda la población,Brasil,2019,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1259715.8603183886,1140220.4148641916,1365993.145532888
Toda la población,Brasil,2020,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1289539.0365636023,1171863.4946637205,1399473.7625324707
Toda la población,Brasil,2021,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1329853.7609914157,1204299.6338366256,1440369.4449465175
Toda la población,Brasil,2022,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1373717.6327319425,1247117.842108381,1494177.4281304278
Toda la población,Brasil,2023,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,1379151.8692361135,1246325.7633115808,1495475.411431109
Toda la población,Bolivia,1990,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,44214.99220500835,31067.356522446356,56425.4150024586
Toda la población,Bolivia,1991,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,46312.76497181367,32923.60302718273,59006.967372576735
Toda la población,Bolivia,1992,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,48436.71658241757,34342.58751497914,62025.025987399895
Toda la población,Bolivia,1993,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,50483.50579986963,35807.06030332798,64248.640026408844
Toda la población,Bolivia,1994,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,52595.47689527936,38631.6739766893,66738.16276817425
Toda la población,Bolivia,1995,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,54966.97711350317,40293.25659660987,69277.24981863654
Toda la población,Bolivia,1996,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,57757.27023025863,42467.50466338048,72031.43024435168
Toda la población,Bolivia,1997,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,60082.9281363351,44099.625219540874,75208.92407179347
Toda la población,Bolivia,1998,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,63080.68083103998,46350.73361193127,79405.09160939156
Toda la población,Bolivia,1999,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,66254.51906547748,48539.79389172388,84328.13626040802
Toda la población,Bolivia,2000,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,69665.57288554491,51555.05610238057,89726.03400491542
Toda la población,Bolivia,2001,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,73615.88788940561,54436.78228210346,94970.83874896917
Toda la población,Bolivia,2002,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,77249.6391539753,58824.825068119186,99312.28631393934
Toda la población,Bolivia,2003,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,80586.13695227116,61764.46285562588,103259.42919593408
Toda la población,Bolivia,2004,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,84139.9845874179,65709.2379779573,109176.9807535511
Toda la población,Bolivia,2005,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,87166.32828623593,67124.42362174249,113348.45679596916
Toda la población,Bolivia,2006,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,90657.02255719615,70136.29304815305,118134.73680761465
Toda la población,Bolivia,2007,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,93771.23834260037,73070.1576218686,120708.80267764177
Toda la población,Bolivia,2008,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,97391.78196653725,76116.54722375258,124799.94724772123
Toda la población,Bolivia,2009,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,100958.060326365,79458.17292567226,128206.92730801759
Toda la población,Bolivia,2010,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,104727.163483999,81171.90401161196,137290.94552651554
Toda la población,Bolivia,2011,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,108972.36593422681,83995.5635292544,142656.0973192887
Toda la población,Bolivia,2012,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,112864.70069855264,85634.79466582932,148174.68883840638
Toda la población,Bolivia,2013,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,117150.23113501396,87537.6678531731,153234.38105855297
Toda la población,Bolivia,2014,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,120510.63299743751,91148.72656409268,157679.62811255874
Toda la población,Bolivia,2015,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,124498.27075346364,96263.62478385754,162340.18615249364
Toda la población,Bolivia,2016,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,128547.98621771857,101010.73627573959,164411.13817795904
Toda la población,Bolivia,2017,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,132202.77175235137,103878.47528269388,168198.20910076762
Toda la población,Bolivia,2018,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,137456.042527644,107495.34320192877,174323.95171731387
Toda la población,Bolivia,2019,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,141378.63312658822,109406.93104139184,179856.25003623503
Toda la población,Bolivia,2020,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,172287.5369600676,134366.99337777775,225197.6689301801
Toda la población,Bolivia,2021,Todas las edades,Ambos,Enfermedad renal crónica,DALYs,160752.6212188069,124837.8707134691,207101.3526799798
